City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,jardim,-21.4803,-56.1381,303.63,44,36,3.02,BR,1675541984
264,svetlyy,54.675,20.1347,272.18,71,80,5.12,RU,1675541984
265,georgetown,5.4112,100.3354,299.11,82,20,3.6,MY,1675541808
266,mount gambier,-37.8333,140.7667,286.5,84,100,1.38,AU,1675541756
267,ndola,-12.9587,28.6366,290.53,94,98,1.12,ZM,1675541985
268,price,39.5994,-110.8107,272.74,55,0,1.54,US,1675541985
269,kavaratti,10.5669,72.642,300.57,67,99,2.59,IN,1675541876
270,sorong,-0.8833,131.25,298.26,88,100,2.49,ID,1675541986
271,coquimbo,-29.9533,-71.3436,296.0,64,0,4.63,CL,1675541819
272,ishigaki,24.3448,124.1572,294.22,78,100,4.63,JP,1675541986
273,ziro,27.6333,93.8333,276.14,59,6,1.2,IN,1675541986
274,hirtshals,57.5881,9.9592,273.43,69,79,6.8,DK,1675541987
275,guerrero negro,27.9769,-114.0611,294.02,35,0,4.19,MX,1675541817
276,mehamn,71.0357,27.8492,271.12,80,100,1.54,NO,1675541879
277,buala,-8.145,159.5921,299.44,85,100,2.78,SB,1675541851
278,eureka,40.8021,-124.1637,289.05,50,100,4.02,US,1675541888
279,ilulissat,69.2167,-51.1,254.16,78,40,3.09,GL,1675541987
280,buin,-33.7333,-70.75,307.83,28,0,5.42,CL,1675541871
281,harper,4.375,-7.7169,300.09,82,8,4.23,LR,1675541867
282,nanchang,28.6833,115.8833,280.98,92,97,1.28,CN,1675541752
283,bend,44.0582,-121.3153,280.41,65,20,1.79,US,1675541732
284,college,64.8569,-147.8028,261.12,78,75,1.54,US,1675541988
285,goderich,43.7501,-81.7165,269.21,63,73,9.77,CA,1675541988
286,linxia,35.6003,103.2064,273.7,42,100,1.1,CN,1675541989
287,laguna,38.421,-121.4238,291.49,68,100,6.69,US,1675541560
288,nosy varika,-20.5833,48.5333,296.86,89,99,0.17,MG,1675541858
289,pangnirtung,66.1451,-65.7125,236.15,67,0,0.0,CA,1675541989
290,tayu,-6.5397,111.0518,297.68,91,100,2.83,ID,1675541990
291,high level,58.5169,-117.136,259.21,92,100,1.03,CA,1675541990
292,upernavik,72.7868,-56.1549,252.0,95,100,3.15,GL,1675541751
293,praia,14.9215,-23.5087,295.45,60,66,8.75,CV,1675541725
